Date	Time	Severity	PID	TID	Function	Message
30-04-2025	18:55:20.119	 INFO	 39320	 36528	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
30-04-2025	18:55:20.121	 INFO	 39320	 45424	LateInitialization	"Intialization..."
30-04-2025	18:55:20.122	 INFO	 39320	 45424	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\bash.exe"
30-04-2025	18:55:20.123	 INFO	 39320	 45424	LateInitialization	"IsExplorer = 0"
30-04-2025	18:55:20.124	 INFO	 39320	 45424	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-04-2025	18:55:20.125	 INFO	 39320	 45424	LateInitialization	"Intialization finished"
30-04-2025	18:58:04.926	 INFO	 39528	 46564	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
30-04-2025	18:58:04.928	 INFO	 39528	 45444	LateInitialization	"Intialization..."
30-04-2025	18:58:04.929	 INFO	 39528	 45444	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\bash.exe"
30-04-2025	18:58:04.933	 INFO	 39528	 45444	LateInitialization	"IsExplorer = 0"
30-04-2025	18:58:04.934	 INFO	 39528	 45444	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-04-2025	18:58:04.937	 INFO	 39528	 45444	LateInitialization	"Intialization finished"
30-04-2025	22:53:51.143	 INFO	 41192	 46256	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
30-04-2025	22:53:51.146	 INFO	 41192	 35604	LateInitialization	"Intialization..."
30-04-2025	22:53:51.148	 INFO	 41192	 35604	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\bash.exe"
30-04-2025	22:53:51.150	 INFO	 41192	 35604	LateInitialization	"IsExplorer = 0"
30-04-2025	22:53:51.152	 INFO	 41192	 35604	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-04-2025	22:53:51.155	 INFO	 41192	 35604	LateInitialization	"Intialization finished"
30-04-2025	23:29:24.936	 INFO	 43620	 48924	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
30-04-2025	23:29:24.939	 INFO	 43620	 48976	LateInitialization	"Intialization..."
30-04-2025	23:29:24.941	 INFO	 43620	 48976	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\bash.exe"
30-04-2025	23:29:24.943	 INFO	 43620	 48976	LateInitialization	"IsExplorer = 0"
30-04-2025	23:29:24.944	 INFO	 43620	 48976	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
30-04-2025	23:29:24.946	 INFO	 43620	 48976	LateInitialization	"Intialization finished"
01-05-2025	12:32:44.047	 INFO	 20064	  8128	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
01-05-2025	12:32:44.055	 INFO	 20064	 22068	LateInitialization	"Intialization..."
01-05-2025	12:32:44.059	 INFO	 20064	 22068	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\bash.exe"
01-05-2025	12:32:44.064	 INFO	 20064	 22068	LateInitialization	"IsExplorer = 0"
01-05-2025	12:32:44.068	 INFO	 20064	 22068	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
01-05-2025	12:32:44.074	 INFO	 20064	 22068	LateInitialization	"Intialization finished"
01-05-2025	12:34:26.097	 INFO	  2908	 22668	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
01-05-2025	12:34:26.107	 INFO	  2908	 26108	LateInitialization	"Intialization..."
01-05-2025	12:34:26.114	 INFO	  2908	 26108	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\bash.exe"
01-05-2025	12:34:26.128	 INFO	  2908	 26108	LateInitialization	"IsExplorer = 0"
01-05-2025	12:34:26.132	 INFO	  2908	 26108	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
01-05-2025	12:34:26.143	 INFO	  2908	 26108	LateInitialization	"Intialization finished"
01-05-2025	12:43:06.554	 INFO	 10656	 18116	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
01-05-2025	12:43:06.557	 INFO	 10656	  2556	LateInitialization	"Intialization..."
01-05-2025	12:43:06.559	 INFO	 10656	  2556	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\sh.exe"
01-05-2025	12:43:06.562	 INFO	 10656	  2556	LateInitialization	"IsExplorer = 0"
01-05-2025	12:43:06.564	 INFO	 10656	  2556	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
01-05-2025	12:43:06.569	 INFO	 10656	  2556	LateInitialization	"Intialization finished"
01-05-2025	13:00:53.944	 INFO	 25156	 14272	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
01-05-2025	13:00:53.945	 INFO	 25156	 27092	LateInitialization	"Intialization..."
01-05-2025	13:00:53.947	 INFO	 25156	 27092	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\bash.exe"
01-05-2025	13:00:53.948	 INFO	 25156	 27092	LateInitialization	"IsExplorer = 0"
01-05-2025	13:00:53.949	 INFO	 25156	 27092	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
01-05-2025	13:00:53.950	 INFO	 25156	 27092	LateInitialization	"Intialization finished"
01-05-2025	13:08:37.059	 INFO	 25612	  8488	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
01-05-2025	13:08:37.061	 INFO	 25612	  6512	LateInitialization	"Intialization..."
01-05-2025	13:08:37.063	 INFO	 25612	  6512	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\bash.exe"
01-05-2025	13:08:37.064	 INFO	 25612	  6512	LateInitialization	"IsExplorer = 0"
01-05-2025	13:08:37.066	 INFO	 25612	  6512	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
01-05-2025	13:08:37.068	 INFO	 25612	  6512	LateInitialization	"Intialization finished"
01-05-2025	13:15:27.457	 INFO	 24952	 25120	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
01-05-2025	13:15:27.459	 INFO	 24952	 26636	LateInitialization	"Intialization..."
01-05-2025	13:15:27.461	 INFO	 24952	 26636	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\bash.exe"
01-05-2025	13:15:27.462	 INFO	 24952	 26636	LateInitialization	"IsExplorer = 0"
01-05-2025	13:15:27.463	 INFO	 24952	 26636	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
01-05-2025	13:15:27.465	 INFO	 24952	 26636	LateInitialization	"Intialization finished"
01-05-2025	13:29:10.848	 INFO	 28424	 19460	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
01-05-2025	13:29:10.851	 INFO	 28424	 27124	LateInitialization	"Intialization..."
01-05-2025	13:29:10.854	 INFO	 28424	 27124	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\sh.exe"
01-05-2025	13:29:10.858	 INFO	 28424	 27124	LateInitialization	"IsExplorer = 0"
01-05-2025	13:29:10.859	 INFO	 28424	 27124	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
01-05-2025	13:29:10.862	 INFO	 28424	 27124	LateInitialization	"Intialization finished"
01-05-2025	13:42:11.901	 INFO	  7352	 27772	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
01-05-2025	13:42:11.918	 INFO	  7352	 22704	LateInitialization	"Intialization..."
01-05-2025	13:42:11.927	 INFO	  7352	 22704	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\bash.exe"
01-05-2025	13:42:11.936	 INFO	  7352	 22704	LateInitialization	"IsExplorer = 0"
01-05-2025	13:42:11.950	 INFO	  7352	 22704	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
01-05-2025	13:42:11.965	 INFO	  7352	 22704	LateInitialization	"Intialization finished"
01-05-2025	13:44:10.095	 INFO	 24904	 25036	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
01-05-2025	13:44:10.096	 INFO	 24904	 10428	LateInitialization	"Intialization..."
01-05-2025	13:44:10.097	 INFO	 24904	 10428	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\bash.exe"
01-05-2025	13:44:10.099	 INFO	 24904	 10428	LateInitialization	"IsExplorer = 0"
01-05-2025	13:44:10.100	 INFO	 24904	 10428	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
01-05-2025	13:44:10.103	 INFO	 24904	 10428	LateInitialization	"Intialization finished"
01-05-2025	14:04:34.684	 INFO	 12624	 23016	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
01-05-2025	14:04:34.687	 INFO	 12624	 27960	LateInitialization	"Intialization..."
01-05-2025	14:04:34.688	 INFO	 12624	 27960	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\sh.exe"
01-05-2025	14:04:34.689	 INFO	 12624	 27960	LateInitialization	"IsExplorer = 0"
01-05-2025	14:04:34.691	 INFO	 12624	 27960	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
01-05-2025	14:04:34.694	 INFO	 12624	 27960	LateInitialization	"Intialization finished"
01-05-2025	14:17:35.890	 INFO	 26288	 27736	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
01-05-2025	14:17:35.892	 INFO	 26288	 24012	LateInitialization	"Intialization..."
01-05-2025	14:17:35.893	 INFO	 26288	 24012	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\bash.exe"
01-05-2025	14:17:35.894	 INFO	 26288	 24012	LateInitialization	"IsExplorer = 0"
01-05-2025	14:17:35.896	 INFO	 26288	 24012	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
01-05-2025	14:17:35.898	 INFO	 26288	 24012	LateInitialization	"Intialization finished"
01-05-2025	14:21:54.119	 INFO	 28856	 29372	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
01-05-2025	14:21:54.123	 INFO	 28856	 21716	LateInitialization	"Intialization..."
01-05-2025	14:21:54.125	 INFO	 28856	 21716	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\sh.exe"
01-05-2025	14:21:54.127	 INFO	 28856	 21716	LateInitialization	"IsExplorer = 0"
01-05-2025	14:21:54.131	 INFO	 28856	 21716	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
01-05-2025	14:21:54.135	 INFO	 28856	 21716	LateInitialization	"Intialization finished"
01-05-2025	14:25:13.658	 INFO	  7304	 28324	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
01-05-2025	14:25:13.660	 INFO	  7304	 27164	LateInitialization	"Intialization..."
01-05-2025	14:25:13.661	 INFO	  7304	 27164	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\bash.exe"
01-05-2025	14:25:13.662	 INFO	  7304	 27164	LateInitialization	"IsExplorer = 0"
01-05-2025	14:25:13.664	 INFO	  7304	 27164	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
01-05-2025	14:25:13.666	 INFO	  7304	 27164	LateInitialization	"Intialization finished"
01-05-2025	16:13:53.533	 INFO	 30732	 31748	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
01-05-2025	16:13:53.536	 INFO	 30732	 26752	LateInitialization	"Intialization..."
01-05-2025	16:13:53.538	 INFO	 30732	 26752	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\sh.exe"
01-05-2025	16:13:53.540	 INFO	 30732	 26752	LateInitialization	"IsExplorer = 0"
01-05-2025	16:13:53.542	 INFO	 30732	 26752	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
01-05-2025	16:13:53.543	 INFO	 30732	 26752	LateInitialization	"Intialization finished"
01-05-2025	16:15:47.879	 INFO	 30728	 31244	DllMain	"DLL_PROCESS_ATTACH Mon Mar 24 13:43:10 2025 11.4.2500.21"
01-05-2025	16:15:47.881	 INFO	 30728	 30852	LateInitialization	"Intialization..."
01-05-2025	16:15:47.882	 INFO	 30728	 30852	LateInitialization	"Exe = C:\Users\aditya.verma\AppData\Local\Programs\Git\usr\bin\sh.exe"
01-05-2025	16:15:47.884	 INFO	 30728	 30852	LateInitialization	"IsExplorer = 0"
01-05-2025	16:15:47.885	 INFO	 30728	 30852	Edlp::Path::InitializeExcludedPathPatterns	"Windows drive = C:"
01-05-2025	16:15:47.887	 INFO	 30728	 30852	LateInitialization	"Intialization finished"
